# fping 1.1.1.1 -D -c 100000 -i 30000 > pingtest.txt
# Monday, June 22, 2020 7:35:31 AM GMT-04:00 DST to
# Tuesday, June 23, 2020 11:02:53 PM GMT-04:00 DST
# Interruption Tuesday, June 23, 2020 1:43:17 PM GMT-04:00 DST to Tuesday, June 23, 2020 3:16:55 PM GMT-04:00 DST to 
# 4041 samples
#
[1592828882.486723] 1.1.1.1 : [105], 84 bytes, 32.8 ms (33.6 avg, 0% loss)
[1592828912.493255] 1.1.1.1 : [106], 84 bytes, 32.8 ms (33.6 avg, 0% loss)
[1592828942.499137] 1.1.1.1 : [107], 84 bytes, 32.8 ms (33.6 avg, 0% loss)
[1592828972.505515] 1.1.1.1 : [108], 84 bytes, 32.9 ms (33.6 avg, 0% loss)
[1592829002.509932] 1.1.1.1 : [109], 84 bytes, 33.4 ms (33.6 avg, 0% loss)
[1592829032.514088] 1.1.1.1 : [110], 84 bytes, 33.0 ms (33.6 avg, 0% loss)
[1592829062.521763] 1.1.1.1 : [111], 84 bytes, 32.6 ms (33.6 avg, 0% loss)
[1592829092.529617] 1.1.1.1 : [112], 84 bytes, 33.0 ms (33.5 avg, 0% loss)
[1592829122.537868] 1.1.1.1 : [113], 84 bytes, 32.2 ms (33.5 avg, 0% loss)
[1592829152.541820] 1.1.1.1 : [114], 84 bytes, 33.2 ms (33.5 avg, 0% loss)
[1592829182.546688] 1.1.1.1 : [115], 84 bytes, 32.3 ms (33.5 avg, 0% loss)
[1592829212.550321] 1.1.1.1 : [116], 84 bytes, 32.3 ms (33.5 avg, 0% loss)
[1592829242.555134] 1.1.1.1 : [117], 84 bytes, 33.1 ms (33.5 avg, 0% loss)
[1592829272.559571] 1.1.1.1 : [118], 84 bytes, 31.3 ms (33.5 avg, 0% loss)
[1592829302.567397] 1.1.1.1 : [119], 84 bytes, 33.5 ms (33.5 avg, 0% loss)
[1592829332.572011] 1.1.1.1 : [120], 84 bytes, 32.4 ms (33.5 avg, 0% loss)
[1592829362.579318] 1.1.1.1 : [121], 84 bytes, 32.9 ms (33.5 avg, 0% loss)
[1592829392.584926] 1.1.1.1 : [122], 84 bytes, 33.1 ms (33.5 avg, 0% loss)
[1592829422.586209] 1.1.1.1 : [123], 84 bytes, 32.1 ms (33.5 avg, 0% loss)
[1592829452.592717] 1.1.1.1 : [124], 84 bytes, 33.2 ms (33.5 avg, 0% loss)
[1592829482.596130] 1.1.1.1 : [125], 84 bytes, 32.8 ms (33.5 avg, 0% loss)
[1592829512.599641] 1.1.1.1 : [126], 84 bytes, 32.5 ms (33.4 avg, 0% loss)
[1592829542.605765] 1.1.1.1 : [127], 84 bytes, 31.1 ms (33.4 avg, 0% loss)
[1592829572.610981] 1.1.1.1 : [128], 84 bytes, 31.8 ms (33.4 avg, 0% loss)
[1592829602.616531] 1.1.1.1 : [129], 84 bytes, 31.5 ms (33.4 avg, 0% loss)
[1592829632.620102] 1.1.1.1 : [130], 84 bytes, 32.4 ms (33.4 avg, 0% loss)
[1592829662.628996] 1.1.1.1 : [131], 84 bytes, 33.0 ms (33.4 avg, 0% loss)
[1592829692.637449] 1.1.1.1 : [132], 84 bytes, 33.2 ms (33.4 avg, 0% loss)
[1592829722.644177] 1.1.1.1 : [133], 84 bytes, 34.2 ms (33.4 avg, 0% loss)
[1592829752.651107] 1.1.1.1 : [134], 84 bytes, 32.6 ms (33.4 avg, 0% loss)
[1592829782.661401] 1.1.1.1 : [135], 84 bytes, 32.9 ms (33.4 avg, 0% loss)
[1592829812.665931] 1.1.1.1 : [136], 84 bytes, 31.8 ms (33.4 avg, 0% loss)
[1592829842.666667] 1.1.1.1 : [137], 84 bytes, 31.8 ms (33.4 avg, 0% loss)
[1592829872.668068] 1.1.1.1 : [138], 84 bytes, 32.5 ms (33.4 avg, 0% loss)
[1592829902.670859] 1.1.1.1 : [139], 84 bytes, 32.7 ms (33.4 avg, 0% loss)
[1592829932.674569] 1.1.1.1 : [140], 84 bytes, 32.9 ms (33.3 avg, 0% loss)
[1592829962.684895] 1.1.1.1 : [141], 84 bytes, 33.2 ms (33.3 avg, 0% loss)
[1592829992.689964] 1.1.1.1 : [142], 84 bytes, 32.1 ms (33.3 avg, 0% loss)
[1592830022.699837] 1.1.1.1 : [143], 84 bytes, 33.5 ms (33.3 avg, 0% loss)
[1592830052.716224] 1.1.1.1 : [144], 84 bytes, 42.1 ms (33.4 avg, 0% loss)
[1592830082.712427] 1.1.1.1 : [145], 84 bytes, 38.2 ms (33.4 avg, 0% loss)
[1592830112.722633] 1.1.1.1 : [146], 84 bytes, 43.6 ms (33.5 avg, 0% loss)
[1592830142.719182] 1.1.1.1 : [147], 84 bytes, 37.5 ms (33.5 avg, 0% loss)
[1592830172.725532] 1.1.1.1 : [148], 84 bytes, 41.5 ms (33.6 avg, 0% loss)
[1592830202.732572] 1.1.1.1 : [149], 84 bytes, 45.1 ms (33.7 avg, 0% loss)
[1592830232.734748] 1.1.1.1 : [150], 84 bytes, 40.9 ms (33.7 avg, 0% loss)
[1592830262.730887] 1.1.1.1 : [151], 84 bytes, 33.6 ms (33.7 avg, 0% loss)
[1592830292.739123] 1.1.1.1 : [152], 84 bytes, 32.2 ms (33.7 avg, 0% loss)
[1592830322.754459] 1.1.1.1 : [153], 84 bytes, 44.1 ms (33.8 avg, 0% loss)
[1592830352.757935] 1.1.1.1 : [154], 84 bytes, 39.1 ms (33.8 avg, 0% loss)
[1592830382.756846] 1.1.1.1 : [155], 84 bytes, 32.4 ms (33.8 avg, 0% loss)
[1592830412.765385] 1.1.1.1 : [156], 84 bytes, 32.2 ms (33.8 avg, 0% loss)
[1592830442.769843] 1.1.1.1 : [157], 84 bytes, 32.8 ms (33.8 avg, 0% loss)
[1592830472.772665] 1.1.1.1 : [158], 84 bytes, 31.7 ms (33.8 avg, 0% loss)
[1592830502.786667] 1.1.1.1 : [159], 84 bytes, 37.5 ms (33.8 avg, 0% loss)
[1592830532.787711] 1.1.1.1 : [160], 84 bytes, 31.5 ms (33.8 avg, 0% loss)
[1592830562.794971] 1.1.1.1 : [161], 84 bytes, 37.7 ms (33.8 avg, 0% loss)
[1592830592.809260] 1.1.1.1 : [162], 84 bytes, 50.1 ms (33.9 avg, 0% loss)
[1592830622.798793] 1.1.1.1 : [163], 84 bytes, 31.6 ms (33.9 avg, 0% loss)
[1592830652.803020] 1.1.1.1 : [164], 84 bytes, 33.1 ms (33.9 avg, 0% loss)
[1592830682.810744] 1.1.1.1 : [165], 84 bytes, 31.7 ms (33.9 avg, 0% loss)
[1592830712.818409] 1.1.1.1 : [166], 84 bytes, 33.2 ms (33.9 avg, 0% loss)
[1592830742.825794] 1.1.1.1 : [167], 84 bytes, 33.4 ms (33.9 avg, 0% loss)
[1592830772.837775] 1.1.1.1 : [168], 84 bytes, 43.4 ms (33.9 avg, 0% loss)
[1592830802.834565] 1.1.1.1 : [169], 84 bytes, 33.7 ms (33.9 avg, 0% loss)
[1592830832.844564] 1.1.1.1 : [170], 84 bytes, 36.4 ms (33.9 avg, 0% loss)
[1592830862.852291] 1.1.1.1 : [171], 84 bytes, 37.1 ms (33.9 avg, 0% loss)
[1592830892.851826] 1.1.1.1 : [172], 84 bytes, 33.1 ms (33.9 avg, 0% loss)
[1592830922.868030] 1.1.1.1 : [173], 84 bytes, 43.9 ms (34.0 avg, 0% loss)
[1592830952.870790] 1.1.1.1 : [174], 84 bytes, 44.3 ms (34.1 avg, 0% loss)
[1592830982.885685] 1.1.1.1 : [175], 84 bytes, 58.9 ms (34.2 avg, 0% loss)
[1592831012.859663] 1.1.1.1 : [176], 84 bytes, 32.7 ms (34.2 avg, 0% loss)
[1592831042.861777] 1.1.1.1 : [177], 84 bytes, 32.6 ms (34.2 avg, 0% loss)
[1592831072.870093] 1.1.1.1 : [178], 84 bytes, 32.3 ms (34.2 avg, 0% loss)
[1592831102.877514] 1.1.1.1 : [179], 84 bytes, 32.7 ms (34.2 avg, 0% loss)
[1592831132.887724] 1.1.1.1 : [180], 84 bytes, 33.4 ms (34.2 avg, 0% loss)
[1592831162.894550] 1.1.1.1 : [181], 84 bytes, 32.7 ms (34.1 avg, 0% loss)
[1592831192.900671] 1.1.1.1 : [182], 84 bytes, 33.1 ms (34.1 avg, 0% loss)
[1592831222.901886] 1.1.1.1 : [183], 84 bytes, 31.9 ms (34.1 avg, 0% loss)
[1592831252.907496] 1.1.1.1 : [184], 84 bytes, 32.5 ms (34.1 avg, 0% loss)
[1592831282.909632] 1.1.1.1 : [185], 84 bytes, 32.7 ms (34.1 avg, 0% loss)
[1592831312.912898] 1.1.1.1 : [186], 84 bytes, 31.8 ms (34.1 avg, 0% loss)
[1592831342.920026] 1.1.1.1 : [187], 84 bytes, 32.4 ms (34.1 avg, 0% loss)
[1592831372.928498] 1.1.1.1 : [188], 84 bytes, 40.1 ms (34.1 avg, 0% loss)
[1592831402.933419] 1.1.1.1 : [189], 84 bytes, 43.6 ms (34.2 avg, 0% loss)
[1592831432.931191] 1.1.1.1 : [190], 84 bytes, 33.0 ms (34.2 avg, 0% loss)
[1592831462.938417] 1.1.1.1 : [191], 84 bytes, 32.3 ms (34.2 avg, 0% loss)
[1592831492.944617] 1.1.1.1 : [192], 84 bytes, 33.4 ms (34.2 avg, 0% loss)
[1592831522.957061] 1.1.1.1 : [193], 84 bytes, 35.9 ms (34.2 avg, 0% loss)
[1592831552.971015] 1.1.1.1 : [194], 84 bytes, 40.3 ms (34.2 avg, 0% loss)
[1592831582.964554] 1.1.1.1 : [195], 84 bytes, 32.9 ms (34.2 avg, 0% loss)
[1592831612.971926] 1.1.1.1 : [196], 84 bytes, 33.1 ms (34.2 avg, 0% loss)
[1592831642.975336] 1.1.1.1 : [197], 84 bytes, 33.1 ms (34.2 avg, 0% loss)
[1592831672.977399] 1.1.1.1 : [198], 84 bytes, 32.0 ms (34.2 avg, 0% loss)
[1592831702.984190] 1.1.1.1 : [199], 84 bytes, 36.3 ms (34.2 avg, 0% loss)
[1592831732.985545] 1.1.1.1 : [200], 84 bytes, 34.1 ms (34.2 avg, 0% loss)
[1592831762.989784] 1.1.1.1 : [201], 84 bytes, 33.3 ms (34.2 avg, 0% loss)
[1592831792.993710] 1.1.1.1 : [202], 84 bytes, 33.4 ms (34.2 avg, 0% loss)
[1592831822.996791] 1.1.1.1 : [203], 84 bytes, 33.1 ms (34.2 avg, 0% loss)
[1592831853.000498] 1.1.1.1 : [204], 84 bytes, 33.5 ms (34.2 avg, 0% loss)
[1592831883.008505] 1.1.1.1 : [205], 84 bytes, 41.4 ms (34.2 avg, 0% loss)
