# fping 1.1.1.1 -D -c 100000 -i 30000 > pingtest.txt
# Monday, June 22, 2020 1:01:51 AM GMT-04:00 DST to 
# Monday, June 22, 2020 7:28:25 AM GMT-04:00 DST
# 775 samples
#
[1592805982.262144] 1.1.1.1 : [129], 84 bytes, 26.2 ms (28.2 avg, 0% loss)
[1592806012.263066] 1.1.1.1 : [130], 84 bytes, 26.2 ms (28.2 avg, 0% loss)
[1592806042.268164] 1.1.1.1 : [131], 84 bytes, 25.4 ms (28.2 avg, 0% loss)
[1592806072.271052] 1.1.1.1 : [132], 84 bytes, 26.2 ms (28.2 avg, 0% loss)
[1592806102.275847] 1.1.1.1 : [133], 84 bytes, 25.2 ms (28.1 avg, 0% loss)
[1592806132.276588] 1.1.1.1 : [134], 84 bytes, 25.7 ms (28.1 avg, 0% loss)
[1592806162.284226] 1.1.1.1 : [135], 84 bytes, 25.4 ms (28.1 avg, 0% loss)
[1592806192.291732] 1.1.1.1 : [136], 84 bytes, 25.9 ms (28.1 avg, 0% loss)
[1592806222.300775] 1.1.1.1 : [137], 84 bytes, 25.0 ms (28.1 avg, 0% loss)
[1592806252.307109] 1.1.1.1 : [138], 84 bytes, 25.7 ms (28.0 avg, 0% loss)
[1592806282.311333] 1.1.1.1 : [139], 84 bytes, 25.8 ms (28.0 avg, 0% loss)
[1592806312.310394] 1.1.1.1 : [140], 84 bytes, 24.2 ms (28.0 avg, 0% loss)
[1592806342.318259] 1.1.1.1 : [141], 84 bytes, 25.6 ms (28.0 avg, 0% loss)
[1592806372.320443] 1.1.1.1 : [142], 84 bytes, 23.9 ms (28.0 avg, 0% loss)
[1592806402.327447] 1.1.1.1 : [143], 84 bytes, 25.4 ms (27.9 avg, 0% loss)
[1592806432.334805] 1.1.1.1 : [144], 84 bytes, 28.6 ms (27.9 avg, 0% loss)
[1592806462.338083] 1.1.1.1 : [145], 84 bytes, 25.3 ms (27.9 avg, 0% loss)
[1592806492.346967] 1.1.1.1 : [146], 84 bytes, 25.2 ms (27.9 avg, 0% loss)
[1592806522.348426] 1.1.1.1 : [147], 84 bytes, 25.2 ms (27.9 avg, 0% loss)
[1592806552.349805] 1.1.1.1 : [148], 84 bytes, 25.9 ms (27.9 avg, 0% loss)
[1592806582.354997] 1.1.1.1 : [149], 84 bytes, 25.1 ms (27.9 avg, 0% loss)
[1592806612.355109] 1.1.1.1 : [150], 84 bytes, 24.5 ms (27.8 avg, 0% loss)
[1592806642.358038] 1.1.1.1 : [151], 84 bytes, 25.1 ms (27.8 avg, 0% loss)
[1592806672.360820] 1.1.1.1 : [152], 84 bytes, 25.5 ms (27.8 avg, 0% loss)
[1592806702.366288] 1.1.1.1 : [153], 84 bytes, 25.3 ms (27.8 avg, 0% loss)
[1592806732.375580] 1.1.1.1 : [154], 84 bytes, 25.8 ms (27.8 avg, 0% loss)
[1592806762.380620] 1.1.1.1 : [155], 84 bytes, 25.7 ms (27.8 avg, 0% loss)
[1592806792.388828] 1.1.1.1 : [156], 84 bytes, 26.3 ms (27.8 avg, 0% loss)
[1592806822.396275] 1.1.1.1 : [157], 84 bytes, 24.7 ms (27.7 avg, 0% loss)
[1592806852.401190] 1.1.1.1 : [158], 84 bytes, 25.9 ms (27.7 avg, 0% loss)
[1592806882.406072] 1.1.1.1 : [159], 84 bytes, 25.6 ms (27.7 avg, 0% loss)
[1592806912.413189] 1.1.1.1 : [160], 84 bytes, 24.9 ms (27.7 avg, 0% loss)
[1592806942.412620] 1.1.1.1 : [161], 84 bytes, 24.2 ms (27.7 avg, 0% loss)
[1592806972.416092] 1.1.1.1 : [162], 84 bytes, 24.8 ms (27.6 avg, 0% loss)
[1592807002.421823] 1.1.1.1 : [163], 84 bytes, 25.3 ms (27.6 avg, 0% loss)
[1592807032.426653] 1.1.1.1 : [164], 84 bytes, 25.7 ms (27.6 avg, 0% loss)
[1592807062.427539] 1.1.1.1 : [165], 84 bytes, 25.3 ms (27.6 avg, 0% loss)
[1592807092.436380] 1.1.1.1 : [166], 84 bytes, 34.0 ms (27.6 avg, 0% loss)
[1592807122.430528] 1.1.1.1 : [167], 84 bytes, 26.3 ms (27.6 avg, 0% loss)
[1592807152.431227] 1.1.1.1 : [168], 84 bytes, 25.8 ms (27.6 avg, 0% loss)
[1592807182.430630] 1.1.1.1 : [169], 84 bytes, 24.0 ms (27.6 avg, 0% loss)
[1592807212.436061] 1.1.1.1 : [170], 84 bytes, 26.3 ms (27.6 avg, 0% loss)
[1592807242.440383] 1.1.1.1 : [171], 84 bytes, 26.0 ms (27.6 avg, 0% loss)
[1592807272.447400] 1.1.1.1 : [172], 84 bytes, 25.4 ms (27.6 avg, 0% loss)
